Year,Month,Births
1994,1,320705
1994,2,301327
1994,3,339736
1994,4,317392
1994,5,330295
1994,6,329737
1994,7,345862
1994,8,352173
1994,9,339223
1994,10,330172
1994,11,319397
1994,12,326748
1995,1,316013
1995,2,295094
1995,3,328503
1995,4,309119
1995,5,334543
1995,6,329805
1995,7,340873
1995,8,350737
1995,9,339103
1995,10,330012
1995,11,310817
1995,12,314970
1996,1,314283
1996,2,301763
1996,3,322581
1996,4,312595
1996,5,325708
1996,6,318525
1996,7,345162
1996,8,346317
1996,9,336348
1996,10,336346
1996,11,309397
1996,12,322469
1997,1,317211
1997,2,291541
1997,3,321212
1997,4,314230
1997,5,330331
1997,6,321867
1997,7,346506
1997,8,339122
1997,9,333600
1997,10,328657
1997,11,307282
1997,12,329335
1998,1,319340
1998,2,298711
1998,3,329436
1998,4,319758
1998,5,330519
1998,6,327091
1998,7,348651
1998,8,344736
1998,9,343384
1998,10,332790
1998,11,313241
1998,12,333896
1999,1,319182
1999,2,297568
1999,3,332939
1999,4,316889
1999,5,328526
1999,6,332201
1999,7,349812
1999,8,351371
1999,9,349409
1999,10,332980
1999,11,315289
1999,12,333251
2000,1,330108
2000,2,317377
2000,3,340553
2000,4,317180
2000,5,341207
2000,6,341206
2000,7,348975
2000,8,360080
2000,9,347609
2000,10,343921
2000,11,333811
2000,12,336787
2001,1,335198
2001,2,303534
2001,3,338684
2001,4,323613
2001,5,344017
2001,6,331085
2001,7,351047
2001,8,361802
2001,9,342564
2001,10,344074
2001,11,323746
2001,12,326569
2002,1,330674
2002,2,303977
2002,3,331505
2002,4,324432
2002,5,339007
2002,6,327588
2002,7,357669
2002,8,359417
2002,9,348814
2002,10,345814
2002,11,318573
2002,12,334256
