state	stateName	resolved	median	mean	n	freq
AC	Acre	Y	86	92.7142857142857	630	0.608
AL	Alagoas	Y	9.14285714285714	14.2857142857143	7425	0.649
AM	Amazonas	Y	10.2857142857143	14.4285714285714	1517	0.748
AP	Amapá	Y	40.7142857142857	137	819	0.664
BA	Bahia	Y	29	38.2857142857143	8959	0.568
CE	Ceará	Y	11.2857142857143	18.1428571428571	7237	0.772
DF	Distrito Federal	Y	84	70.4285714285714	3004	0.515
ES	Espírito Santo	Y	12	29.7142857142857	7403	0.525
GO	Goiás	Y	18.8571428571429	30.5714285714286	6581	0.744
MA	Maranhão	Y	12.5714285714286	16	2756	0.742
MG	Minas Gerais	Y	6.71428571428571	24.1428571428571	14821	0.765
MS	Mato Grosso do Sul	Y	6	7.71428571428571	6916	0.64
MT	Mato Grosso	Y	31.8571428571429	39.8571428571429	7988	0.803
PA	Pará	Y	23	29.1428571428571	2143	0.722
PB	Paraíba	Y	6.57142857142857	14.1428571428571	7135	0.821
PE	Pernambuco	Y	6.71428571428571	18.2857142857143	17343	0.727
PI	Piauí	Y	4.28571428571429	7	1362	0.645
PR	Paraná	Y	5.42857142857143	8.71428571428571	4516	0.496
RJ	Rio de Janeiro	Y	2.85714285714286	3.85714285714286	5830	0.585
RN	Rio Grande do Norte	Y	5.71428571428571	12	5383	0.67
RO	Rondônia	Y	4.57142857142857	6.85714285714286	2026	0.55
SC	Santa Catarina	Y	8.42857142857143	17.1428571428571	11484	0.741
SP	São Paulo	Y	16.1428571428571	20.2857142857143	27019	0.535
TO	Tocantins	Y	12.2857142857143	29	5124	0.666
